,EmployeeID,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,Education_1,Education_2,Education_3,Education_4,Education_5,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Unnamed: 0,Age,DistanceFromHome,JobLevel,MonthlyIncome,NumCompaniesWorked,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,retirado,SalaryHike
0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,51,6,1,131160,1.0,0,1.0,6,1,0,0,3.0,4.0,2.0,3,3,0,0.11
1,2,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,31,10,1,41890,0.0,1,6.0,3,5,1,4,3.0,2.0,4.0,2,4,1,0.23
2,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2,32,17,4,193280,1.0,3,5.0,2,5,0,3,2.0,2.0,1.0,3,3,0,0.15
3,4,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,3,38,2,3,83210,3.0,3,13.0,5,8,7,5,4.0,4.0,3.0,2,3,0,0.11
4,5,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,4,32,10,1,23420,4.0,2,9.0,2,6,0,4,4.0,1.0,3.0,3,3,0,0.12
5,6,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,5,46,8,4,40710,3.0,0,28.0,5,7,7,7,3.0,2.0,2.0,3,3,0,0.13
6,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,6,28,11,2,58130,2.0,1,5.0,2,0,0,0,1.0,3.0,1.0,3,4,1,0.2
7,8,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,7,29,18,2,31430,2.0,3,10.0,2,0,0,0,1.0,2.0,3.0,3,4,0,0.22
8,9,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,8,31,1,3,20440,0.0,0,10.0,2,9,7,8,2.0,4.0,3.0,3,4,0,0.21
9,10,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,9,25,7,4,134640,1.0,1,6.0,2,6,1,5,2.0,1.0,3.0,3,3,0,0.13
10,11,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,10,45,17,2,79910,0.0,2,21.0,2,20,4,10,3.0,4.0,3.0,2,3,0,0.13
11,12,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,11,36,28,1,33770,0.0,2,16.0,2,15,10,11,2.72,4.0,3.0,3,3,0,0.12
